Id;Label;Forfattere;Titel;Udgivelsesaar;Journal;artikel nr.;group
n22;n22;Metz, Kathleen E.;Disentangling Robust Developmental Constraints from the Instructionally Mutable: Young Children's Epistemic Reasoning about a Study of Their Own Design;2011;Journal of the Learning Sciences;23;adult
n23;n23;Monteira, Sabela F.;The Practice of Using Evidence in Kindergarten: The Role of Purposeful Observation;2015;Journal of Research in Science Teaching;24;children
n24;n24;Peterson, Shira May;Supporting Young Children's Explanations through Inquiry Science in Preschool;2008;Early Childhood Research Quarterly;25;children
n25;n25;Philippou, Stavroula;"""The Exchange of Ideas Was Mutual, I Have to Say"": Negotiating Researcher and Teacher ""Roles"" in an Early Years Educators' Professional Development Programme on Inquiry-Based Mathematics and Science Learning";2015;Professional Development in Education;26;adult 
n26;n26;Roehrig, Gillian H.;We Look More, Listen More, Notice More: Impact of Sustained Professional Development on Head Start Teachers' Inquiry-Based and Culturally-Relevant Science Teaching Practices;2011;Journal of Science Education and Technology;27;adult 
n27;n27;Ala Samarapungavan;The Development and Validation of the Science Learning Assessment (SLA): A Measure of Kindergarten Science Learning;2009;Journal of Advanced Academics;28;children
n28;n28;Ala Samarapungavan;What Kindergarten Students Learn in Inquiry-Based Science Classrooms;2011;Cognition and Instruction;29;children
n29;n29;Senocak, Erdal;A Study on Development of an Instrument to Determine Turkish Kindergarten Students' Understandings of Scientific Concepts and Scientific Inquiry Processes;2013;Educational Sciences: Theory and Practice;30;children
n30;n30;Siry, Christina;"""Doing Science"" through Discourse-in-Interaction: Young Children's Science Investigations at the Early Childhood Level";2012;Science Education;31;children
n31;n31;Van Hook, Stephen J.;Lift, Squeeze, Stretch, and Twist: Research-Based Inquiry Physics Experiences (RIPE) of Energy for Kindergartners;2008;Journal of Elementary Science Education;32;children
n32;n32;Wastin, E. and H. S. Han (2014).;Action Research and Project Approach: Journey of an Early Childhood Pre-Service Teacher and a Teacher Educator;2014;Networks: An Online Journal for Teacher Research;33;both
n33;n33;Watts, M., et al. (2017);But Is It Science?;2017;Early Child Development and Care;34;adult
n34;n34;Wu, Su-Chiao;Inquiry-Based Mathematics Curriculum Design for Young Children-Teaching Experiment and Reflection;2016;EURASIA Journal of Mathematics, Science & Technology Education;35;adult
